,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
0,pipe,HC0002,1751043672,1075,1751036483,1750000610,1750000610,1750006714,1750025398,1751061281,1081,1551177934000,к.168 ,67.7,1,438606.5,6543210.32,"уз.к.38,64",66.6,3,159,8,1,1573592400000,сталь 13ХФА,Тайлаковское,-1.10000000000001,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
1,pipe,HC0002,1751043555,457,1751036364,1750000610,1750000610,1750006714,1751052499,1751060481,457,1550583180000,к.129 ,67.5,1,442762.43,6544047.92,вр. к.129,68,3,159,8,1,1569272400000,сталь 13ХФА,Тайлаковское,0.5,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
2,pipe,HC0001,1750025965,12825,1750020533,1750000610,1750000610,1750005566,1750010908,1750042346,12825,1409039583000,ПК 14+00 НН,68.64,3,444893.015265474,6560066.69203921,ДНС-1 Тайлаковского,85.7,7,273,10,1,1106168400000,сталь 20,Тайлаковское,17.06,False,,,,True,P,4.8,,,,,0.85,0.253,1E-05,False,True
3,pipe,HC0002,1750039011,26,1750032783,1750000610,1750000610,1750006714,1750047739,1750032340,26,1512370347000,к.14 ,82.1,1,438151.071975437,6552802.1551503,задв. 14.1,89.3,3,159,8,1,1427403600000,сталь 13ХФА,Тайлаковское,7.2,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
4,pipe,HC0002,1750033529,897,1750028661,1750000610,1750000610,1750005566,1750029576,1750021871,897,1474452995000,уз. к22,84.5,3,442303.398254303,6547104.08650354,вр. к.22,84,3,159,8,1,1435870800000,сталь 20,Тайлаковское,-0.5,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
5,pipe,HC0002,1750016098,40,1750014133,1750000610,1750000610,1750006714,1750018392,1750021970,40,1211438861000,уз. к1,87.5,3,439737.622061493,6546229.8872926,вр. к.1,84,3,114,9,1,1118001600000,сталь 20,Тайлаковское,-3.5,False,,,,False,,,,,,,0.85,0.096,1E-05,False,False
6,pipe,HC0002,1750019261,23,1750017036,1750000610,1750000610,1750005566,1750021871,1750017916,23,1270478497000,к.22 ,84,1,442344.75,6547154.86,уз. к22,84.5,3,114,10,1,1215115200000,сталь 20,Тайлаковское,0.5,True,,P,15,False,,,,15,,,0.85,0.094,1E-05,True,False
7,pipe,HC0002,1750019237,415,1750016998,1750000610,1750000610,1750006714,1750021819,1750018377,415,1269963010000,т.вр.к.3,91.6,3,440358.56,6548666.3,т.вр.к12,88.2,3,273,10,1,1146945600000,сталь 20А,Тайлаковское,-3.39999999999999,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
8,pipe,HC0002,1750022914,289,1750020429,1750000610,1750000610,1750006714,1750025398,1750023993,289,1319447028000,к.38 ,67.4,1,439007.41,6542717.22,"уз.к.38,64",66.6,3,159,8,1,1300136400000,сталь 20С,Тайлаковское,-0.800000000000011,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
9,pipe,HC0002,1751043552,1244,1750017052,1750000610,1750000610,1750006714,1750021885,1751052499,1244,1550582812000,вр. к.129,68,3,442314.510676894,6544071.61860064,"уз. к29, к28",72.3,3,114,8,1,1247774400000,сталь 20,Тайлаковское,4.3,False,,,,False,,,,,,,0.85,0.098,1E-05,False,False
10,pipe,HC0002,1750019226,22,1750016989,1750000610,1750000610,1750006714,1750034327,1750012330,22,1269961709000,к.4 ,90.9,1,440009.875648599,6551718.3849489,т.вр.к.4,89.9,3,159,10,1,1150574400000,сталь 20,Тайлаковское,-1,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
11,pipe,HC0002,1750037471,2441,1750022552,1750000610,1750000610,1750006714,1750036572,1750045719,2441,1498111412000,уз.зкл к.14,89.3,3,438327.488202522,6552640.11263698,т.вр.к.14,91.2,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
12,pipe,HC0002,1750016100,1232,1750014135,1750000610,1750000610,1750005566,1750021888,1750018039,1232,1211440672000,т.вр.к.18,75.8,3,443289.080397092,6554014.76186602,"т.вр. к27, к24",84,3,219,10,1,1185134400000,сталь 20С,Тайлаковское,8.2,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
13,pipe,HC0002,1750022925,4073,1750020440,1750000610,1750000610,1750005566,1751051666,1751051665,4073,1319450657000,т.уз.к.37,62,3,442475.871606453,6562897.75580928,вр. к.30,69.7,3,219,8,1,1399060800000,сталь 20С,Тайлаковское,7.7,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
14,pipe,HC0002,1750025457,24,1750022604,1750000610,1750000610,1750006714,1750029698,1750026716,24,1392710060000,к.15 ,88.6,1,435896.613793757,6552994.16387524,т.вр.к15,87.4,3,159,10,1,1343764800000,сталь 20,Тайлаковское,-1.19999999999999,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
15,pipe,HC0002,1750019199,8,1750016974,1750000610,1750000610,1750005566,1750021808,1750014132,8,1269876747000,к.16 ,75.3,1,443200.29,6554552.23,уз.к16,75.2,3,159,10,1,1185134400000,сталь 20С,Тайлаковское,-0.099999999999994,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
16,pipe,HC0002,1750028005,20,1750024695,1750000610,1750000610,1750005566,1750021861,1750017374,20,1431500628000,к.17 ,72.5,1,445738.33,6555101.4,т.вр к17,70.2,3,159,10,1,1199134800000,сталь 20С,Тайлаковское,-2.3,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
17,pipe,HC0002,1750025456,300,1750022552,1750000610,1750000610,1750006714,1750029699,1750029698,300,1392709233000,т.вр.к15,87.4,3,435864.77241088,6552957.35801788,уз.к.15,86.5,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,-0.900000000000006,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
18,pipe,HC0002,1750028012,1461,1750016998,1750000610,1750000610,1750006714,1750021812,1750021819,1461,1431515901000,т.вр.к12,88.2,3,440509.632457669,6548307.61368351,Узел 2,82.6,3,273,10,1,1146945600000,сталь 20А,Тайлаковское,-5.60000000000001,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
19,pipe,HC0002,1750016102,3468,1750014137,1750000610,1750000610,1750005566,1750018039,1750021857,3468,1211440865000,уз.к18,84.7,3,440012.44,6554775.79,т.вр.к.18,75.8,3,159,10,1,1180468800000,сталь 20С,Тайлаковское,-8.90000000000001,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
20,pipe,HC0002,1750019369,14,1750017144,1750000610,1750000610,1750006714,1750021970,1750010938,14,1271231682000,к.1 ,85,1,439823.23,6546342.02,уз. к1,87.5,3,159,10,1,1117569600000,сталь 20,Тайлаковское,2.5,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
