,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
0,15,14,pipe,HC0002,1750025457,24,1750022604,1750000610,1750000610,1750006714,1750029698,1750026716,24,1392710060000,к.15 ,88.6,1,т.вр.к15,87.4,3,159,10,1,1343764800000,сталь 20,Тайлаковское,-1.19999999999999,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,17.5,90.3392857142857,17.5,435896.613793757,435864.77241088,6552994.16387524,6552957.35801788
1,3,57,pipe,HC0002,1750016542,28,1750014534,1750000610,1750000610,1750006714,1750018389,1750010946,28,1215670082000,к.3 ,89,1,вр. к.3,91.5,3,159,9,1,1146945600000,сталь 20,Тайлаковское,2.5,True,P,15,False,,,,15,,,0.85,0.141,1E-05,True,False,11.1,94.4142857142857,11.1,440294.71,440336.5,6548535.3,6548549.85
2,2,65,pipe,HC0002,1750019190,25,1750016965,1750000610,1750000610,1750006714,1750021798,1750010945,25,1269874098000,к.2 ,86.08,1,уз.к2,84.5,3,159,10,1,1160164800000,сталь 20С,Тайлаковское,-1.58,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,13.2,93.4830769230769,13.2,437795.000146294,437731.56,6547115.73559829,6547006.88
3,13,51,pipe,HC0002,1750027988,248,1750024676,1750000610,1750000610,1750005566,1750021860,1750028636,248,1431443094000,к.13 Б,88.4,1,уз.к13,86.2,3,114,8,1,1356984000000,сталь 13ХФА,Тайлаковское,-2.2,True,P,15,False,,,,15,,,0.85,0.098,1E-05,True,False,,,15,442060.39,442197.12,6552517.23,6552776.07
4,17,16,pipe,HC0002,1750028005,20,1750024695,1750000610,1750000610,1750005566,1750021861,1750017374,20,1431500628000,к.17 ,72.5,1,т.вр к17,70.2,3,159,10,1,1199134800000,сталь 20С,Тайлаковское,-2.3,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,13.8,88.8297872340426,13.8,445738.33,445730.437978446,6555101.4,6555070.56980781
5,27,48,pipe,HC0002,1750019285,200,1750017057,1750000610,1750000610,1750005566,1751061682,1750020918,200,1270548009000,к.27 ,74,1,"т.вр.к.27,101",73.2,3,159,10,1,1262206800000,сталь 20,Тайлаковское,-0.799999999999997,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,14.9,70.3928571428571,14.9,445689.07,445530.39,6551811.93,6551943.67
6,16,15,pipe,HC0002,1750019199,8,1750016974,1750000610,1750000610,1750005566,1750021808,1750014132,8,1269876747000,к.16 ,75.3,1,уз.к16,75.2,3,159,10,1,1185134400000,сталь 20С,Тайлаковское,-0.099999999999994,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,13.2,58.9638554216868,13.2,443200.29,443215.709210082,6554552.23,6554547.4041643
7,95,55,pipe,HC0002,1750028007,4304,1750024697,1750000610,1750000610,1750006714,1750034342,1750027416,4304,1431501372000,к.95 ,92.7,1,вр.к.95,92.3,3,159,10,1,1356984000000,сталь 20С,Тайлаковское,-0.400000000000006,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,15.9,94.3329048843188,15.9,435050.401304839,438222.086238247,6549382.47864749,6549287.03055901
8,23,27,pipe,HC0002,1750019192,28,1750016967,1750000610,1750000610,1750006714,1750034330,1750014054,28,1269874652000,к.23 ,70.81,1,т.вр.к.23,71.4,3,159,10,1,1180641600000,сталь 20,Тайлаковское,0.590000000000003,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,16.7,92.4720068906116,16.7,436762.112553516,436804.71,6545422.04034569,6545430.29
9,14,3,pipe,HC0002,1750039011,26,1750032783,1750000610,1750000610,1750006714,1750047739,1750032340,26,1512370347000,к.14 ,82.1,1,задв. 14.1,89.3,3,159,8,1,1427403600000,сталь 13ХФА,Тайлаковское,7.2,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,15.9,93.4176470588235,15.9,438151.071975437,438234.927043586,6552802.1551503,6552763.3831495
10,22,6,pipe,HC0002,1750019261,23,1750017036,1750000610,1750000610,1750005566,1750021871,1750017916,23,1270478497000,к.22 ,84,1,уз. к22,84.5,3,114,10,1,1215115200000,сталь 20,Тайлаковское,0.5,True,P,15,False,,,,15,,,0.85,0.094,1E-05,True,False,10.8,50.9285714285714,10.8,442344.75,442303.398254303,6547154.86,6547104.08650354
11,129,1,pipe,HC0002,1751043555,457,1751036364,1750000610,1750000610,1750006714,1751052499,1751060481,457,1550583180000,к.129 ,67.5,1,вр. к.129,68,3,159,8,1,1569272400000,сталь 13ХФА,Тайлаковское,0.5,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,19.9,48.6268656716418,19.9,442762.43,442314.510676894,6544047.92,6544071.61860064
12,1,20,pipe,HC0002,1750019369,14,1750017144,1750000610,1750000610,1750006714,1750021970,1750010938,14,1271231682000,к.1 ,85,1,уз. к1,87.5,3,159,10,1,1117569600000,сталь 20,Тайлаковское,2.5,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,12.1,85.5689679218968,12.1,439823.23,439737.622061493,6546342.02,6546229.8872926
13,168,0,pipe,HC0002,1751043672,1075,1751036483,1750000610,1750000610,1750006714,1750025398,1751061281,1081,1551177934000,к.168 ,67.7,1,"уз.к.38,64",66.6,3,159,8,1,1573592400000,сталь 13ХФА,Тайлаковское,-1.10000000000001,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,20.2,94.1489361702128,20.2,438606.5,439181,6543210.32,6542530.25
14,38,8,pipe,HC0002,1750022914,289,1750020429,1750000610,1750000610,1750006714,1750025398,1750023993,289,1319447028000,к.38 ,67.4,1,"уз.к.38,64",66.6,3,159,8,1,1300136400000,сталь 20С,Тайлаковское,-0.800000000000011,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,18.8,91.8493902114289,18.8,439007.41,439181,6542717.22,6542530.25
15,13,67,pipe,HC0002,1750019250,18,1750017025,1750000610,1750000610,1750005566,1750021860,1750014131,18,1270471639000,к.13 ,88.54,1,уз.к13,86.2,3,159,10,1,1186084800000,сталь 20,Тайлаковское,-2.34,True,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False,10.3,94.2723004694836,10.3,442206.83,442197.12,6552792.71,6552776.07
16,29,32,pipe,HC0002,1750035234,379,1750030023,1750000610,1750000610,1750006714,1750020317,1750037446,379,1484312735000,к.29 Б,66.3,1,к.29 ,66.3,1,159,8,1,1457125200000,сталь 13ХФА,Тайлаковское,0,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,,,15,442646.64,442419.25250814,6543842.8,6543927.99863549
17,122,62,pipe,HC0002,1750031008,393,1750026840,1750000610,1750000610,1750005566,1750021871,1750034909,393,1458883407000,к.122 ,88,1,уз. к22,84.5,3,159,8,1,1435870800000,сталь 13ХФА,Тайлаковское,-3.5,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,10.9,66.4811320754717,10.9,442533.76,442303.398254303,6547346.62,6547104.08650354
18,83,63,pipe,HC0002,1750031049,347,1750026900,1750000610,1750000610,1750005566,1750038146,1750032640,347,1459154327000,к.83 ,74,1,т.вр.к.83,69.7,3,159,8,1,1427835600000,сталь 13ХФА,Тайлаковское,-4.3,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,11.6,96.6277298120874,11.6,443613.12,443927.48,6556067.31,6555999.71
19,118,35,pipe,HC0002,1750030968,359,1750026800,1750000610,1750000610,1750005566,1750021857,1750033323,359,1458821838000,к.118 ,86.64,1,уз.к18,84.7,3,159,8,1,1431464400000,сталь 13ХФА,Тайлаковское,-1.94,True,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False,15.7,89.4652631578947,15.7,440114.25,440012.44,6554995.97,6554775.79
20,,2,pipe,HC0001,1750025965,12825,1750020533,1750000610,1750000610,1750005566,1750010908,1750042346,12825,1409039583000,ПК 14+00 НН,68.64,3,ДНС-1 Тайлаковского,85.7,7,273,10,1,1106168400000,сталь 20,Тайлаковское,17.06,False,,,True,P,4.8,,,,,0.85,0.253,1E-05,False,True,,,,444893.015265474,441554.290674888,6560066.69203921,6546720.19789019
21,,4,pipe,HC0002,1750033529,897,1750028661,1750000610,1750000610,1750005566,1750029576,1750021871,897,1474452995000,уз. к22,84.5,3,вр. к.22,84,3,159,8,1,1435870800000,сталь 20,Тайлаковское,-0.5,False,,,False,,,,,,,0.85,0.143,1E-05,False,False,,,,442303.398254303,441545.9415875,6547104.08650354,6547131.78155573
22,,5,pipe,HC0002,1750016098,40,1750014133,1750000610,1750000610,1750006714,1750018392,1750021970,40,1211438861000,уз. к1,87.5,3,вр. к.1,84,3,114,9,1,1118001600000,сталь 20,Тайлаковское,-3.5,False,,,False,,,,,,,0.85,0.096,1E-05,False,False,,,,439737.622061493,439814.71,6546229.8872926,6546135.23
23,,7,pipe,HC0002,1750019237,415,1750016998,1750000610,1750000610,1750006714,1750021819,1750018377,415,1269963010000,т.вр.к.3,91.6,3,т.вр.к12,88.2,3,273,10,1,1146945600000,сталь 20А,Тайлаковское,-3.39999999999999,False,,,False,,,,,,,0.85,0.253,1E-05,False,False,,,,440358.56,440509.632457669,6548666.3,6548307.61368351
24,,9,pipe,HC0002,1751043552,1244,1750017052,1750000610,1750000610,1750006714,1750021885,1751052499,1244,1550582812000,вр. к.129,68,3,"уз. к29, к28",72.3,3,114,8,1,1247774400000,сталь 20,Тайлаковское,4.3,False,,,False,,,,,,,0.85,0.098,1E-05,False,False,,,,442314.510676894,442147.172205181,6544071.61860064,6545305.43077612
25,,11,pipe,HC0002,1750037471,2441,1750022552,1750000610,1750000610,1750006714,1750036572,1750045719,2441,1498111412000,уз.зкл к.14,89.3,3,т.вр.к.14,91.2,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,438327.488202522,440294.32245277,6552640.11263698,6551370.62550202
