,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
0,pipe,HC0002,1750039319,3344,1750033010,1750000894,1750000894,1750008987,1750022132,1750047219,3344,1513251832000,вр. к.134,65.3,3,464783.72,6568419.64,уз.УДР-2,78.5,3,219,8,1,1543525200000,Тайлаковское,13.2,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
1,pipe,HC0005,1750021636,18,1750019283,1750000894,1750000894,1750006836,1750022333,1750022281,18,1279861744000,к.59 ,63.1,1,440726.76,6574688.91,т.вр.к59,60.1,3,168,16,1,1282334400000,Тайлаковское,-3,False,,,,False,,,,,,,0.85,0.136,1E-05,False,False
2,pipe,HC0005,1750033488,3397,1750019283,1750000894,1750000894,1750006836,1750022338,1750022333,3397,1474379087000,т.вр.к59,60.1,3,440742.41,6574726.39,т.вр.к61,62.5,3,168,16,1,1282334400000,Тайлаковское,2.4,False,,,,False,,,,,,,0.85,0.136,1E-05,False,False
3,pipe,HC0002,1750020071,363,1750017806,1750000894,1750000894,1750006836,1750022338,1750021737,363,1275397618000,к.61 ,63.1,1,441413.609347826,6571471.44685394,т.вр.к61,62.5,3,114,8,1,1501362000000,Тайлаковское,-0.600000000000001,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
4,pipe,HC0002,1750027905,92,1750024595,1750000894,1750000894,1750006836,1750022132,1750025496,92,1431064120000,уз.№15(р-он УДР-2),78.3,3,461532.215840075,6568625.0874924,уз.УДР-2,78.5,3,219,10,1,1285272000000,Тайлаковское,0.200000000000003,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
5,pipe,HC0002,1750020061,1640,1750017796,1750000894,1750000894,1750006836,1750022349,1750021239,1640,1275395987000,к.69 ,62.9,1,448449.26,6564418.63,т.вр.к69,63.2,3,159,10,1,1267822800000,Тайлаковское,0.300000000000004,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
6,pipe,HC0002,1750027953,4601,1750024637,1750000894,1750000894,1750006836,1750034283,1750022333,4601,1431084527000,т.вр.к59,60.1,3,440742.41,6574726.39,"т.вр.к.59,46",64.5,3,159,8,1,1388520000000,Тайлаковское,4.4,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
7,pipe,HC0002,1750020049,3400,1750017784,1750000894,1750000894,1750006836,1750022338,1750022333,3400,1275394980000,т.вр.к59,60.1,3,440742.41,6574726.39,т.вр.к61,62.5,3,159,10,1,1277323200000,Тайлаковское,2.4,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
8,pipe,HC0002,1750035232,1698,1750017419,1750000894,1750000894,1750006836,1750022134,1750043786,1698,1484311277000,т.вр.к.93,85.2,3,459070.35,6574695.97,т.вр.к42,85,3,159,10,1,1270929600000,Тайлаковское,-0.200000000000003,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
9,pipe,HC0002,1750019670,510,1750017425,1750000894,1750000894,1750006954,1750022129,1750028517,510,1273240882000,к.32 Б,84.6,1,456082.663474732,6570586.36360819,т.вр.к32,83.2,3,114,8,1,1356984000000,Тайлаковское,-1.39999999999999,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
10,pipe,HC0002,1750031012,770.4,1750026842,1750000894,1750000894,1750006836,1750022132,1750032641,770.4,1458888266000,к.78 ,79.2,1,461223.258174585,6568982.4019054,уз.УДР-2,78.5,3,159,8,1,1433538000000,Тайлаковское,-0.700000000000003,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
11,pipe,HC0002,1751042410,86,1751035342,1750000894,1750000894,1750006836,1750022359,1750051259,86,1541141610000,к.62 Б,65.1,1,454765.974536896,6567412.36535467,уз.вр.к.62Б,66.3,3,159,8,1,1541365200000,Тайлаковское,1.2,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
12,pipe,HC0002,1750027955,2555,1750017789,1750000894,1750000894,1750006836,1750022345,1750022343,2555,1431086789000,т.вр.к56,61.2,3,444026.31,6568518.94,т.вр.к75,61.8,3,273,8,1,1277323200000,Тайлаковское,0.599999999999994,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
13,pipe,HC0002,1750019652,1031,1750017407,1750000894,1750000894,1750007301,1750022119,1750022121,1031,1273237366000,вр. к.19,84.8,3,463689.664015082,6571985.00082334,"уз. к10, к19",82.6,3,159,10,1,1297544400000,Тайлаковское,-2.2,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
14,pipe,HC0002,1750035348,2920,1750030140,1750000894,1750000894,1750006836,1750022334,1750022140,2920,1484741524000,уз.к33,82.3,3,457635.949948943,6568730.69735748,т.вр.н/с к.46,84.2,3,426,8,1,1474146000000,Тайлаковское,1.90000000000001,False,,,,False,,,,,,,0.85,0.41,1E-05,False,False
