,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
0,5,76,pipe,HC0002,1750019770,3,1750017525,1750000894,1750000894,1750006835,1750022124,1750018916,3,1273671213000,к.5 ,64.5,1,уз.к5,64.3,3,159,10,1,1225314000000,Тайлаковское,-0.200000000000003,True,P,15,False,,,,,,,0.85,0.139,1E-05,22.5,79.3312421580928,22.5,460552.07,460565.05,6564267.13,6564261.48
1,6,24,pipe,HC0002,1750020121,15,1750017855,1750000894,1750000894,1750007301,1750022123,1750018056,15,1275652458000,к.6 ,77,1,уз.к.6,75,3,159,10,1,1215720000000,Тайлаковское,-2,True,P,15,False,,,,,,,0.85,0.139,1E-05,9.2,85.5190615835777,9.2,462999.89,462993.796819499,6569929.3,6569932.07637597
2,6,46,pipe,HC0002,1750027968,341,1750024657,1750000894,1750000894,1750007301,1750034308,1750028283,341,1431412704000,к.6 Б,83.2,1,т.вр.к.6,83,3,114,8,1,1383508800000,Тайлаковское,-0.200000000000003,True,P,15,False,,,,,,,0.85,0.098,1E-05,,,15,462933.377477254,462828.355883732,6569611.68796407,6569896.2085844
3,7,47,pipe,HC0002,1750020123,515,1750017857,1750000894,1750000894,1750007301,1750022117,1750018260,515,1275652598000,к.7 ,80,1,уз.к7,83.2,3,219,10,1,1219780800000,Тайлаковское,3.2,True,P,15,False,,,,,,,0.85,0.199,1E-05,17.2,77.0083333333333,17.2,466095.030452825,465865.673515049,6571836.12066958,6571476.85638191
4,8,60,pipe,HC0002,1750020111,25,1750017845,1750000894,1750000894,1750007301,1750022399,1750027136,25,1275650126000,к.8 ,82.83,1,уз.к8,80.3,3,114,10,1,1352923200000,Тайлаковское,-2.53,True,P,15,False,,,,,,,0.85,0.094,1E-05,16.5,84.2643678160919,16.5,466124.2,466100.35,6569835.78,6569809.91
5,8,73,pipe,HC0002,1750035236,329,1750030025,1750000894,1750000894,1750007301,1750022399,1750037546,329,1484313883000,к.8 Б,83,1,уз.к8,80.3,3,159,8,1,1464123600000,Тайлаковское,-2.7,True,P,15,False,,,,,,,0.85,0.143,1E-05,,,15,466252.61,466100.35,6569976.53,6569809.91
6,10,50,pipe,HC0002,1750019651,1922,1750017406,1750000894,1750000894,1750007301,1750022121,1750023753,1922,1273237300000,к.10 ,86.7,1,вр. к.19,84.8,3,114,8,1,1297544400000,Тайлаковское,-1.90000000000001,True,P,15,False,,,,,,,0.85,0.098,1E-05,15.8,72.6735537190083,15.8,464182.123651095,463689.664015082,6573760.03152913,6571985.00082334
7,19,68,pipe,HC0002,1750020112,1244,1750017846,1750000894,1750000894,1750007301,1750022121,1750030660,1244,1275650275000,к.19 ,83.66,1,вр. к.19,84.8,3,114,10,1,1388520000000,Тайлаковское,1.14,True,P,15,False,,,,,,,0.85,0.094,1E-05,15.8,81,15.8,462598.231887974,463689.664015082,6572486.89302653,6571985.00082334
8,20,80,pipe,HC0002,1750019665,169,1750017420,1750000894,1750000894,1750006836,1750022136,1750021358,169,1273240454000,к.20 ,82.1,1,т.вр.н/с к.60,82.3,3,114,8,1,1270929600000,Тайлаковское,0.200000000000003,True,P,15,False,,,,,,,0.85,0.098,1E-05,11,47.6388888888889,11,460040.074301557,460227.413741558,6570687.90890365,6570674.48844092
9,31,41,pipe,HC0002,1750020126,1305,1750017860,1750000894,1750000894,1750006954,1750044306,1750019913,1305,1275652989000,к.31 ,82.3,1,ЗКЛ№98,79.1,3,219,10,1,1242590400000,Тайлаковское,-3.2,True,P,15,False,,,,,,,0.85,0.199,1E-05,18.9,79.9809523809524,18.9,453532.475937449,454255.864898268,6572394.3259529,6571457.07722841
10,32,9,pipe,HC0002,1750019670,510,1750017425,1750000894,1750000894,1750006954,1750022129,1750028517,510,1273240882000,к.32 Б,84.6,1,т.вр.к32,83.2,3,114,8,1,1356984000000,Тайлаковское,-1.39999999999999,True,P,15,False,,,,,,,0.85,0.098,1E-05,,,15,456082.663474732,455915.316447218,6570586.36360819,6570162.72972654
11,32,29,pipe,HC0002,1750020129,343,1750017863,1750000894,1750000894,1750006954,1750022139,1750019873,343,1275654556000,к.32 ,85.6,1,уз.к32,84,3,159,10,1,1232658000000,Тайлаковское,-1.59999999999999,True,P,15,False,,,,,,,0.85,0.139,1E-05,17.8,73.9107391910739,17.8,455799.416102661,455549.452704161,6570731.78137607,6570450.04583002
12,33,44,pipe,HC0002,1750019671,440,1750017426,1750000894,1750000894,1750006954,1750022130,1750019874,440,1273240910000,к.33 ,85.2,1,т.вр.к33,83.1,3,159,10,1,1240948800000,Тайлаковское,-2.10000000000001,True,P,15,False,,,,,,,0.85,0.139,1E-05,11.9,82.2731629392971,11.9,457666.463081348,457334.100379216,6569442.21413068,6569009.69009548
13,33,90,pipe,HC0002,1750027906,484,1750024596,1750000894,1750000894,1750006836,1750022140,1750028356,484,1431069313000,к.33 Б,85.3,1,уз.к33,82.3,3,114,8,1,1356984000000,Тайлаковское,-3,True,P,15,False,,,,,,,0.85,0.098,1E-05,,,15,457819.194784564,457635.949948943,6569134.73789594,6568730.69735748
14,34,20,pipe,HC0002,1750019668,727,1750017423,1750000894,1750000894,1750008987,1750047219,1750019875,727,1273240775000,к.34 ,64.73,1,вр. к.134,65.3,3,159,10,1,1241640000000,Тайлаковское,0.569999999999993,True,P,,False,,,,,,,0.85,0.139,1E-05,12,81.5009276437848,12,465109.41,464783.72,6567989.01,6568419.64
16,35,91,pipe,HC0002,1750020120,499,1750017854,1750000894,1750000894,1750006835,1750022127,1750023053,499,1275651858000,к.35 ,69.5,1,вр. к.35,68.3,3,114,10,1,1285272000000,Тайлаковское,-1.2,True,P,15,False,,,,,,,0.85,0.094,1E-05,19.6,74.4893617021277,19.6,461760.797887034,461339.602916068,6567059.67743545,6566982.19619557
17,36,49,pipe,HC0002,1750020117,2308,1750017851,1750000894,1750000894,1750006835,1750022403,1750023739,2308,1275651634000,к.36 ,82.7,1,т.вр.к36,65.5,3,159,10,1,1305921600000,Тайлаковское,-17.2,True,P,15,False,,,,,,,0.85,0.139,1E-05,25.7,77.2084367245657,25.7,457493.548157622,459032.18,6566139.78191457,6564570.71
18,39,51,pipe,HC0002,1750022997,7568,1750020512,1750000894,1750000894,1750006836,1750022333,1750023998,7568,1320669269000,к.39 ,58.5,1,т.вр.к59,60.1,3,159,10,1,1304452800000,Тайлаковское,1.6,True,P,15,False,,,,,,,0.85,0.139,1E-05,31.6,93.5350109409191,31.6,434000.77,440742.41,6575351.81,6574726.39
19,41,64,pipe,HC0002,1751043250,502,1751036042,1750000894,1750000894,1750006836,1751061520,1751058780,502,1548758889000,к.41 Б,97.22,1,т.вр.к.41б,101.3,3,159,8,1,1550005200000,Тайлаковское,4.08,True,P,15,False,,,,,,,0.85,0.143,1E-05,,,15,450678.04,450478.57,6574595.4,6574858.07
20,41,25,pipe,HC0002,1750020036,30,1750017771,1750000894,1750000894,1750006836,1751061520,1750021238,30,1275053106000,к.41 ,101.3,1,т.вр.к.41б,101.3,3,114,8,1,1270929600000,Тайлаковское,0,True,P,15,False,,,,,,,0.85,0.098,1E-05,22.8,87.4615384615385,22.8,450505.98,450478.57,6574827.9,6574858.07
21,42,83,pipe,HC0002,1750035237,226,1750030026,1750000894,1750000894,1750006836,1750021517,1750040326,226,1484314710000,к.42 Б,86,1,к.42 ,85.9,1,159,8,1,1469307600000,Тайлаковское,-0.099999999999994,True,P,15,False,,,,,,,0.85,0.143,1E-05,,,15,458567.608071516,458751.401904322,6572784.28181616,6572903.34839721
22,42,70,pipe,HC0002,1750019669,596,1750017424,1750000894,1750000894,1750006836,1750022134,1750021517,596,1273240838000,к.42 ,85.9,1,т.вр.к42,85,3,159,10,1,1270929600000,Тайлаковское,-0.900000000000006,False,,,False,,,,,,,0.85,0.139,1E-05,13.2,,13.2,458751.401904322,459337.961094803,6572903.34839721,6573011.80602655
23,46,23,pipe,HC0002,1750020029,1980,1750017764,1750000894,1750000894,1750006836,1750034283,1750021557,1980,1275052807000,к.46 ,65.2,1,"т.вр.к.59,46",64.5,3,159,10,1,1270929600000,Тайлаковское,-0.700000000000003,False,,,False,,,,,,,0.85,0.139,1E-05,,65.78,,443465.191266358,444122.43077267,6577950.50980999,6576487.98540724
24,46,87,pipe,HC0002,1751045917,242,1751038209,1750000894,1750000894,1750006836,1750021557,1751062020,242,1580823710000,к.46 Б,64.4,1,к.46 ,65.2,1,159,8,1,1579813200000,Тайлаковское,0.799999999999997,True,P,15,False,,,,,,,0.85,0.143,1E-05,,,15,443765.64,443465.191266358,6577874.75,6577950.50980999
25,49,31,pipe,HC0002,1750027945,492,1750024635,1750000894,1750000894,1750006836,1750022330,1750027997,492,1431073489000,к.49 ,93,1,уз.к49,92.2,3,159,10,1,1399233600000,Тайлаковское,-0.799999999999997,True,P,,False,,,,,,,0.85,0.139,1E-05,23.3,80.2725793327909,23.3,453895.526181949,454020.453145613,6577968.56634946,6577761.16979826
27,51,86,pipe,HC0002,1750020051,2061,1750017786,1750000894,1750000894,1750006836,1750022339,1750021972,2061,1275395067000,к.51 ,67.5,1,т.вр.к51,63,3,159,10,1,1275163200000,Тайлаковское,-4.5,True,P,15,False,,,,,,,0.85,0.139,1E-05,22.7,75.6419270833333,22.7,443289.32,442926.921122992,6572790.75,6571137.21405715
28,54,32,pipe,HC0002,1750037753,170,1750031723,1750000894,1750000894,1750006836,1750022341,1750022383,170,1503304703000,к.54 ,66.2,1,уз.к.54,65,3,114,8,1,1501448400000,Тайлаковское,-1.2,True,P,15,False,,,,,,,0.85,0.098,1E-05,22.3,78.6427611940298,22.3,445078.398150777,444961.509185771,6570906.36827333,6571013.97089346
29,56,81,pipe,HC0002,1750020055,250,1750017790,1750000894,1750000894,1750006836,1750022343,1750021778,250,1275395268000,к.56 ,63.65,1,т.вр.к56,61.2,3,159,10,1,1276545600000,Тайлаковское,-2.45,True,P,15,False,,,,,,,0.85,0.139,1E-05,20,69.2291666666667,20,443813.72,444026.31,6568461.02,6568518.94
30,57,77,pipe,HC0002,1750033249,370,1750028461,1750000894,1750000894,1750006836,1750022331,1750029742,370,1473768203000,к.57 ,87.67,1,т.вр.к57,86.5,3,219,8,1,1424379600000,Тайлаковское,-1.17,True,P,15,False,,,,,,,0.85,0.203,1E-05,19.8,78.9020310633214,19.8,455919.094256474,455708.392768373,6574710.78537059,6574515.37561901
31,59,36,pipe,HC0002,1750031728,39,1750017784,1750000894,1750000894,1750006836,1750022333,1750022281,39,1463658019000,к.59 ,63.1,1,т.вр.к59,60.1,3,159,10,1,1277323200000,Тайлаковское,-3,True,P,,False,,,,,,,0.85,0.139,1E-05,25.5,54.2592592592593,25.5,440726.76,440742.41,6574688.91,6574726.39
33,60,71,pipe,HC0002,1750019664,2000,1750017419,1750000894,1750000894,1750006836,1750043786,1750021872,2000,1273240218000,к.60 ,89.2,1,т.вр.к.93,85.2,3,159,10,1,1270929600000,Тайлаковское,-4,True,P,15,False,,,,,,,0.85,0.139,1E-05,16.4,85.6061705989111,16.4,459516.73395893,459070.35,6576276.58184169,6574695.97
