,juncType,pipeline_purpose_id,simple_part_id,part_L,corroz,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,productivity,model,frequency,perforation,pumpDepth,wellNum,padNum
3,pipe,HC0002,1751043590,4430,0.17,1751036402,1751002131,1750000610,1751010336,1750040926,1750048619,4430,1550733723000,к.96 ,68.7,1,к.43 ,62.7,1,159,8,1,-6,False,,P,15,False,,,,20,,,0.85,0.143,1E-05,,,,,,,
4,pipe,HC0002,1750035228,3042,1.28,1750029262,1751002131,1750000610,1751010336,1750025404,1750025402,3042,1484295851000,уз.вр. к45,65.6,3,уз.вр. к43,59.1,3,219,8,1,-6.49999999999999,False,,,,False,,,,,,,0.85,0.203,1E-05,,,,,,,
5,pipe,HC0002,1751042832,2810,0,1751038647,1751002131,1750000610,1751010336,1751062704,1751051661,2810,1544013628000,вр. к.43,59.1,3,уз.входа ДНС-3,59.7,3,219,8,1,0.600000000000001,False,,,,False,,,,,,,0.85,0.203,1E-05,,,,,,,
6,pipe,HC0002,1750040273,572,1.15,1750033704,1751002131,1750000610,1751010336,1750025407,1750048880,572,1525350323000,к.40 Б,62.6,1,т.вр.к40,60.6,3,159,8,1,-2,True,,P,15,False,,,,20,,,0.85,0.143,1E-05,,,,,,,
7,pipe,HC0002,1750034230,4871,0.17,1750029261,1751002131,1750000610,1751010336,1750025407,1750037686,4871,1476967780000,к.55 ,58.2,1,т.вр.к40,60.6,3,159,8,1,2.4,True,,P,15,False,,,,20,,,0.85,0.143,1E-05,,,,,,,
8,pipe,HC0002,1750035353,1505.5,1.15,1750030144,1751002131,1750000610,1751010336,1750025402,1750026636,1505.5,1484743704000,к.45 ,63.8,1,уз.вр. к45,65.6,3,159,8,1,1.8,True,,P,15,False,,,,20,,,0.85,0.143,1E-05,,,,,,,
9,pipe,HC0002,1751046440,10,0,1751038645,1751002131,1750000610,1751010336,1751062704,1750025405,10,1584965891000,уз.вр. к44,61.2,3,уз.входа ДНС-3,59.7,3,219,8,1,-1.5,False,,,,False,,,,,,,0.85,0.203,1E-05,,,,,,,
10,pipe,HC0002,1751042831,10,1.15,1751035723,1751002131,1750000610,1751010336,1750025402,1751051660,10,1544013406000,"т.вр.к.45, 88",65.9,3,уз.вр. к45,65.6,3,159,8,1,-0.300000000000011,False,,,,False,,,,,,,0.85,0.143,1E-05,,,,,,,
11,pipe,HC0002,1750037750,2652,1.15,1750029262,1751002131,1750000610,1751010336,1750025405,1750025404,2652,1503303822000,уз.вр. к43,59.1,3,уз.вр. к44,61.2,3,219,8,1,2.1,False,,,,False,,,,,,,0.85,0.203,1E-05,,,,,,,
13,pipe,HC0002,1750034231,3718,1.15,1750020435,1751002131,1750000610,1751010336,1751051660,1750024074,3718,1476968092000,к.40 ,61.7,1,"т.вр.к.45, 88",65.9,3,159,10,1,4.2,True,,P,15,False,,,,20,,,0.85,0.139,1E-05,,,,,,,
14,pipe,HC0002,1751043950,952,1.15,1751036722,1751002131,1750000610,1751010336,1751058919,1751062704,983,1554808271000,уз.входа ДНС-3,59.7,3,ДНС -3 Тайлаковская,62.3,7,273,8,1,2.59999999999999,False,,,,True,P,4.8,,,,,0.85,0.257,1E-05,,,,,,,
16,pipe,HC0002,1750037751,2834,1.15,1750031722,1751002131,1750000610,1751010336,1750025404,1750040926,2834,1503303877000,к.43 ,62.7,1,уз.вр. к43,59.1,3,159,8,1,-3.6,False,,,,False,,,,,,,0.85,0.143,1E-05,,,,,,,
18,pipe,HC0002,1750034232,3562,0.17,1750029262,1751002131,1750000610,1751010336,1750025402,1750025407,3562,1476968785000,т.вр.к40,60.6,3,уз.вр. к45,65.6,3,219,8,1,4.99999999999999,False,,,,False,,,,,,,0.85,0.203,1E-05,,,,,,,
19,pipe,HC0002,1750022922,3000,0,1751038647,1751002131,1750000610,1751010336,1751051661,1751051660,3000,1319448640000,"т.вр.к.45, 88",65.9,3,вр. к.43,59.1,3,219,8,1,-6.8,False,,,,False,,,,84,,,0.85,0.203,1E-05,,,,,,,
20,oilwell,,,,,,,,,1750048619,mock_id,,,mock_name,,,к.96,,,,,,,True,,P,270,,,,,,,,,,,0.5,ЭЦН5-45-2500,50,2814,2103,3270,5
