,pumpModel,debit,pressure,eff,power,max,NominalQ
0,ЭЦН5А-500-2150,136,2668.25581112762,24.9375699410165,156494.321195853,903,500
1,ЭЦН5А-500-2150,145,2656.6424305054,26.5876469243168,157068.394713629,903,500
2,ЭЦН5А-500-2150,235,2538.71315277645,41.6437999379117,163319.889771361,903,500
3,ЭЦН5А-500-2150,884,570.074168666906,20.2415192452549,203130.839965297,903,500
4,ЭЦН5А-500-2150,352,2367.82427619501,52.0561269164375,179524.609429702,903,500
5,ЭЦН5А-500-2150,367,2345.87699641635,53.3637020166759,181643.944093046,903,500
6,ЭЦН5А-500-2150,525,2092.80348324866,61.3854431294853,205185.954840766,903,500
7,ЭЦН5А-500-2150,838,716.71144991841,26.2953757875716,203501.543251173,903,500
8,ЭЦН5А-500-2150,878,589.200770569276,21.0311527072962,203179.192567803,903,500
9,ЭЦН5А-500-2150,901,534.465582313703,18.7638925100057,202977.379752239,903,500
10,ЭЦН5А-500-2150,164,2632.12529363626,30.0711427779508,158280.327695599,903,500
11,ЭЦН5А-500-2150,434,2242.6684727163,58.4751527097265,191401.306519037,903,500
12,ЭЦН5А-500-2150,615,1606.61180570953,54.3958368023304,206255.272429635,903,500
13,ЭЦН5А-500-2150,17,2821.81051046587,3.11988538404557,148903.793571932,903,500
14,ЭЦН5А-500-2150,84,2735.35534361156,15.4037918152813,153177.451982039,903,500
15,ЭЦН5А-500-2150,261,2500.97110685218,44.1235046416579,166667.312472079,903,500
16,ЭЦН5А-500-2150,867,624.266207390288,22.4788140543719,203267.839005729,903,500
17,ЭЦН5А-500-2150,892,549.074538578265,19.3705338422769,203046.222641793,903,500
18,ЭЦН5А-500-2150,46,2784.38961734983,8.43680010801327,150753.586018098,903,500
19,ЭЦН5А-500-2150,392,2309.29633169901,55.5448159594311,185170.914108774,903,500
20,ЭЦН5А-500-2150,466,2206.65264224881,60.0201833167674,196873.344899726,903,500
21,ЭЦН5А-500-2150,509,2129.63932197508,61.1997352702143,203184.15994961,903,500
22,ЭЦН5А-500-2150,633,1407.10411637447,49.3649416865637,203885.97551782,903,500
23,ЭЦН5А-500-2150,754,984.48387655159,37.3502442561497,204178.479686252,903,500
24,ЭЦН5А-500-2150,202,2582.73088137593,36.979016562395,160705.051348146,903,500
25,ЭЦН5А-500-2150,733,1051.00298329739,40.0760218394169,204316.386593718,903,500
26,ЭЦН5А-500-2150,800,837.846595300087,31.2963877138331,203807.776400375,903,500
27,ЭЦН5А-500-2150,267,2492.19219494072,44.6465346817533,167515.046337417,903,500
28,ЭЦН5А-500-2150,381,2325.39286862294,54.584105443565,183621.989778834,903,500
29,ЭЦН5А-500-2150,741,1025.92484734006,39.0611167572392,204283.243658347,903,500
30,ЭЦН5А-500-2150,41,2790.84149547328,7.52009067284642,150434.656286,903,500
