,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,juncType,department_id,construct_type,brigade_id,mestor_id,pipeline_purpose_id,simple_part_id,_time,thread_num,pipeline_L,pipe_part_id,part_L,corroz,conn_type,proclad_type,grunt_type,material_type,avaria_num,change_date,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,X_end,Y_end,D,S,thread_number,part_inuse_date,pipe_material,pipeline_type,placing,creation_date,schema_name,rs_schema_name,pipe_status_name,pipeline_purpose_name,mestor_name,brigade_name,department_name,pipe_status_id,_time_end,start_date,start_year,cover_int,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,sourceMistakes,outletMistakes,sourceValueIsFilled,outletValueIsFilled,sourceKindIsFilled,outletKindIsFilled,inletBoundaryMistakes,outletBoundaryMistakes
0,0,0,0,0,0,0,pipe,ZX0014,FY0000,BR0217,MS0192,HC0002,1751043672,1585688400,1,89443,1751036483,1075,0.17,HN0000,HL0002,HJ0000,HB0132,0,1573765200000.0,1751036483,1750000610,1750000610,1750006714,1750025398,1751061281,1081,1551177934000,к.168 ,67.7,1,438606.5,6543210.32,"уз.к.38,64",66.6,3,439181.0,6542530.25,159,8,1,1573592400000.0,сталь 13ХФА,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,Бригада N1 ЦПРС,ЦДНГ-4,HH0004,1588280400,,,,-1.10000000000001,True,,P,15.0,False,,,,,,,0.85,0.14300000000000002,1e-05,True,False,False,False,False,False,False,False,True,True
1,1,1,1,1,1,1,pipe,ZX0014,FY0000,BR0217,MS0192,HC0002,1751043555,1585688400,1,89443,1751036364,457,0.18,HN0000,HL0002,HJ0000,HB0132,0,1569445200000.0,1751036364,1750000610,1750000610,1750006714,1751052499,1751060481,457,1550583180000,к.129 ,67.5,1,442762.43,6544047.92,вр. к.129,68.0,3,442314.510676894,6544071.61860064,159,8,1,1569272400000.0,сталь 13ХФА,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,Бригада N1 ЦПРС,ЦДНГ-4,HH0004,1588280400,,,,0.5,True,,P,15.0,False,,,,,,,0.85,0.14300000000000002,1e-05,True,False,False,False,False,False,False,False,True,True
2,2,2,2,2,2,2,pipe,ZX0014,FY0000,BR0000,MS0192,HC0001,1750025965,1585688400,1,150431,1750020533,12825,0.13,HN0000,HL0002,HJ0000,HB0001,0,,1750020533,1750000610,1750000610,1750005566,1750010908,1750042346,12825,1409039583000,ПК 14+00 НН,68.64,3,444893.015265474,6560066.69203921,ДНС-1 Тайлаковского,85.7,7,441554.29067488795,6546720.19789019,273,10,1,1106168400000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтепровод от ДНС до ЦПС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1106168400000.0,2005.0,,17.06,False,,,,True,P,4.8,,,,,0.85,0.253,1e-05,False,True,False,False,False,False,False,False,True,True
3,3,3,3,3,3,3,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750039011,1585688400,1,89443,1750032783,26,1.06,HN0000,HL0002,HJ0000,HB0132,0,,1750032783,1750000610,1750000610,1750006714,1750047739,1750032340,26,1512370347000,к.14 ,82.1,1,438151.07197543705,6552802.1551503,задв. 14.1,89.3,3,438234.9270435861,6552763.3831495,159,8,1,1427403600000.0,сталь 13ХФА,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1427403600000.0,2015.0,,7.2,True,,P,15.0,False,,,,,,,0.85,0.14300000000000002,1e-05,True,False,False,False,False,False,False,False,True,True
4,4,4,4,4,4,4,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750033529,1585688400,1,150431,1750028661,897,0.12,HN0000,HL0002,HJ0000,HB0001,0,,1750028661,1750000610,1750000610,1750005566,1750029576,1750021871,897,1474452995000,уз. к22,84.5,3,442303.39825430297,6547104.08650354,вр. к.22,84.0,3,441545.9415875,6547131.78155573,159,8,1,1435870800000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1435870800000.0,2015.0,есть,-0.5,False,,,,False,,,,,,,0.85,0.14300000000000002,1e-05,False,False,False,False,False,False,False,False,True,True
5,5,5,5,5,5,5,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750016098,1585688400,1,89443,1750014133,40,1.28,HN0000,HL0002,HJ0000,HB0001,1,,1750014133,1750000610,1750000610,1750006714,1750018392,1750021970,40,1211438861000,уз. к1,87.5,3,439737.622061493,6546229.887292597,вр. к.1,84.0,3,439814.71,6546135.23,114,9,1,1118001600000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1118001600000.0,2005.0,,-3.5,False,,,,False,,,,,,,0.85,0.096,1e-05,False,False,False,False,False,False,False,False,True,True
6,6,6,6,6,6,6,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750019261,1585688400,1,150431,1750017036,23,0.17,HN0000,HL0002,HJ0000,HB0001,0,,1750017036,1750000610,1750000610,1750005566,1750021871,1750017916,23,1270478497000,к.22 ,84.0,1,442344.75,6547154.86,уз. к22,84.5,3,442303.39825430297,6547104.08650354,114,10,1,1215115200000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1215115200000.0,2008.0,нет покрытия,0.5,True,,P,15.0,False,,,,,,,0.85,0.094,1e-05,True,False,False,False,False,False,False,False,True,True
7,7,7,7,7,7,7,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750019237,1585688400,1,89443,1750016998,415,1.0,HN0000,HL0002,HJ0000,HB0032,0,,1750016998,1750000610,1750000610,1750006714,1750021819,1750018377,415,1269963010000,т.вр.к.3,91.6,3,440358.56,6548666.3,т.вр.к12,88.2,3,440509.632457669,6548307.61368351,273,10,1,1146945600000.0,сталь 20А,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1146945600000.0,2006.0,нет покрытия,-3.3999999999999906,False,,,,False,,,,,,,0.85,0.253,1e-05,False,False,False,False,False,False,False,False,True,True
8,8,8,8,8,8,8,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750022914,1585688400,1,89443,1750020429,289,1.18,HN0000,HL0002,HJ0001,HB0033,7,,1750020429,1750000610,1750000610,1750006714,1750025398,1750023993,289,1319447028000,к.38 ,67.4,1,439007.41,6542717.22,"уз.к.38,64",66.6,3,439181.0,6542530.25,159,8,1,1300136400000.0,сталь 20С,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1300136400000.0,2011.0,нет покрытия,-0.800000000000011,True,,P,15.0,False,,,,,,,0.85,0.14300000000000002,1e-05,True,False,False,False,False,False,False,False,True,True
9,9,9,9,9,9,9,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1751043552,1585688400,1,89443,1750017052,1244,0.24,HN0000,HL0002,HJ0000,HB0001,0,,1750017052,1750000610,1750000610,1750006714,1750021885,1751052499,1244,1550582812000,вр. к.129,68.0,3,442314.510676894,6544071.61860064,"уз. к29, к28",72.3,3,442147.1722051809,6545305.43077612,114,8,1,1247774400000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1247774400000.0,2009.0,нет покрытия,4.3,False,,,,False,,,,,,,0.85,0.098,1e-05,False,False,False,False,False,False,False,False,True,True
